Date,Company,Role,Link,ATS score
09/10/22,Goldman Sachs,Associate - EXE5908009,https://www.linkedin.com/jobs/view/externalApply/3191889527?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F104534%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=b-2m&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=OBsKGebswsNX7dJZpWPtdg%3D%3D&trk=public_jobs_apply-link-offsite,13.01%
09/10/22,Goldman Sachs,Associate - GMD5258229,https://www.linkedin.com/jobs/view/externalApply/2984653215?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F82191%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=4KwN&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=Vnf1drYIHnkxnd0tD%2BSN%2BA%3D%3D&trk=public_jobs_apply-link-offsite,9.74%
09/10/22,Goldman Sachs,Associate - ENGG5341934,https://www.linkedin.com/jobs/view/externalApply/2984657013?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F84326%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=vV-n&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=1Izxw5LHlT7dKB7kxCFCjg%3D%3D&trk=public_jobs_apply-link-offsite,9.26%
09/10/22,Goldman Sachs,Engineering-Site Reliability Engineer-VP-New York,https://www.linkedin.com/jobs/view/externalApply/3199937104?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fsites%2FCX_1%2Fjob%2F87201%2F%3Futm_medium%3Djobshare&urlHash=Kts0&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=blltUxmIlZnWF1DICO6sfA%3D%3D&trk=public_jobs_apply-link-offsite,4.22%
09/10/22,Goldman Sachs,Java Engineer – New Project (Accelerate) – VP,https://www.linkedin.com/jobs/view/externalApply/3053422314?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F99613%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=Ng5C&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=JZneTZgG%2F2hh8%2FvN9Dh2cA%3D%3D&trk=public_jobs_apply-link-offsite,2.08%
09/10/22,Goldman Sachs,Engineering- Site Reliability Engineer- VP- New York,https://www.linkedin.com/jobs/view/externalApply/3103866541?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F87201%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=M7P9&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=OvNR9GWzpJ6iXG4%2BJ75V%2FQ%3D%3D&trk=public_jobs_apply-link-offsite,8.37%
09/10/22,Goldman Sachs,Data Quality Software Engineer - Data Lake Engineering - Dallas,https://www.linkedin.com/jobs/view/externalApply/2920026153?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F83845%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=BSva&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=Of4ZqYaUvYyfbAxDcnSecw%3D%3D&trk=public_jobs_apply-link-offsite,2.06%
09/10/22,Goldman Sachs,Product Security Engineering Associate,https://www.linkedin.com/jobs/view/externalApply/2893746671?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F91326%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=3MA5&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=Unt%2FFV5DbZoc9K%2FZHtsCkw%3D%3D&trk=public_jobs_apply-link-offsite,3.02%
09/10/22,Goldman Sachs,Transaction Banking- Engineering Risk- Software Engineering-Associate,https://www.linkedin.com/jobs/view/externalApply/2962009466?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F96558%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=TyDD&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=i87F9G7426w63k%2BUGRokGA%3D%3D&trk=public_jobs_apply-link-offsite,6.73%
09/10/22,Goldman Sachs,Engineering-Site Reliability Engineer Sec DB-VP-New York,https://www.linkedin.com/jobs/view/externalApply/3199941297?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fsites%2FCX_1%2Fjob%2F92207%2F%3Futm_medium%3Djobshare&urlHash=BSSw&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=mles%2FMYq75qm4UONnJcv7g%3D%3D&trk=public_jobs_apply-link-offsite,1.31%
