Company Name,Role,Job link, Similarity Score 
Amazon,Software Development Engineer In Test Internship - 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3287561670?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2220337%2Fsoftware-development-engineer-in-test-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=wOmG&refId=h4RPT7hKvkgguiABqbB0lw%3D%3D&trackingId=2VP6Cb0jVeF8l7Q4ZY8bsw%3D%3D&trk=public_jobs_apply-link-offsite,5.25%
Amazon,Application-Specific Integrated Circuit (ASIC) Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179376167?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141738%2Fapplicationspecific-integrated-circuit-asic-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=yG7y&refId=h4RPT7hKvkgguiABqbB0lw%3D%3D&trackingId=tEqzDmrTMKVBSs2Vb2ZP1w%3D%3D&trk=public_jobs_apply-link-offsite,4.34%
Amazon,Quality Assurance Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179914188?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141837%2Fquality-assurance-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=0d4k&refId=h4RPT7hKvkgguiABqbB0lw%3D%3D&trackingId=GvUKtRzjtjPf%2FizE2oOavQ%3D%3D&trk=public_jobs_apply-link-offsite,4.32%
Amazon,Amazon Robotics - Data Engineer (DE) Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3284384226?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2250893%2Famazon-robotics--data-engineer-de-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=bNSH&refId=h4RPT7hKvkgguiABqbB0lw%3D%3D&trackingId=3xqE0e959MvB%2Ftha18t5xQ%3D%3D&trk=public_jobs_apply-link-offsite,6.64%
Amazon,Amazon Robotics - Software Development Engineer (SDE) Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3024193076?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1999770%2Famazon-robotics--software-development-engineer-sde-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=Pji2&refId=h4RPT7hKvkgguiABqbB0lw%3D%3D&trackingId=0NfBxoG1UhGqEkvht6bT%2Bw%3D%3D&trk=public_jobs_apply-link-offsite,4.83%
Amazon,2023 Machine Learning Intern - Masters Students Global Engineering Services (GES),https://www.linkedin.com/jobs/view/externalApply/3024193076?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1999770%2Famazon-robotics--software-development-engineer-sde-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=Pji2&refId=h4RPT7hKvkgguiABqbB0lw%3D%3D&trackingId=0NfBxoG1UhGqEkvht6bT%2Bw%3D%3D&trk=public_jobs_apply-link-offsite,0.0%
Amazon,User Experience (UX) Researcher Intern – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179912263?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141799%2Fuser-experience-ux-researcher-intern----us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=Z2Fv&refId=h4RPT7hKvkgguiABqbB0lw%3D%3D&trackingId=tQgsxAmxdvJve7Y03l37aA%3D%3D&trk=public_jobs_apply-link-offsite,4.44%
